Meta;Sentence;Tokens;Lemmas;POS
Письмо первое. БОЛЬШОЕ В МАЛОМ;В материальном мире большое не уместишь в малом.;В материальном мире большое не уместишь в малом .;в материальный мир большой не уместить в малый .;ADP ADJ NOUN ADJ PART VERB ADP ADJ PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;В сфере же духовных ценностей не так: в малом может уместиться гораздо большее, а если в большом попытаться уместить малое, то большое просто перестанет существовать.;В сфере же духовных ценностей не так : в малом может уместиться гораздо большее , а если в большом попытаться уместить малое , то большое просто перестанет существовать .;в сфера же духовный ценностей не так : в малый мочь уместиться гораздо больший , а если в большой пытаться уместить малый , то большой просто перестать существовать .;ADP NOUN PART ADJ NOUN PART ADV PUNCT ADP ADJ VERB VERB ADV ADJ PUNCT CCONJ SCONJ ADP ADJ VERB VERB ADJ PUNCT SCONJ ADJ PART VERB VERB PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Если есть у человека великая цель, то она должна проявляться во всем – в самом, казалось бы, незначительном.;Если есть у человека великая цель , то она должна проявляться во всем – в самом , казалось бы , незначительном .;если быть у человек великий цель , то она должен проявляться в все – в самый , казаться бы , незначительный .;SCONJ VERB ADP NOUN ADJ NOUN PUNCT SCONJ PRON ADJ VERB ADP PRON PUNCT ADP ADJ PUNCT VERB AUX PUNCT ADJ PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Надо быть честным в незаметном и случайном: тогда только будешь честным и в выполнении своего большого долга.;Надо быть честным в незаметном и случайном : тогда только будешь честным и в выполнении своего большого долга .;надо быть честный в незаметный и случайный : тогда только быть честный и в выполнение свой большой долг .;ADV AUX ADJ ADP ADJ CCONJ ADJ PUNCT ADV PART AUX ADJ CCONJ ADP NOUN DET ADJ NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Большая цель охватывает всего человека, сказывается в каждом его поступке, и нельзя думать, что дурными средствами можно достигнуть доброй цели.;Большая цель охватывает всего человека , сказывается в каждом его поступке , и нельзя думать , что дурными средствами можно достигнуть доброй цели .;больший цель охватывать весь человек , сказываться в каждый его поступок , и нельзя думать , что дурной средство можно достичь добройый цель .;ADJ NOUN VERB DET NOUN PUNCT VERB ADP DET DET NOUN PUNCT CCONJ ADV VERB PUNCT SCONJ ADJ NOUN ADV VERB ADJ NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Поговорка «цель оправдывает средства» губительна и безнравственна.;Поговорка « цель оправдывает средства » губительна и безнравственна .;"поговорка "" цель оправдывать средства "" губительный и безнравственный .";NOUN PUNCT NOUN VERB NOUN PUNCT ADJ CCONJ ADJ PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Это хорошо показал Достоевский в «Преступлении и наказании».;Это хорошо показал Достоевскии ̆ в « Преступлении и наказании » .;"это хорошо показать Достоевский ̆ в "" преступление и наказание "" .";PRON ADV VERB PROPN PUNCT ADP PUNCT NOUN CCONJ NOUN PUNCT PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Главное действующее лицо этого произведения – Родион Раскольников думал, что, убив отвратительную старушонку-ростовщицу, он добудет деньги, на которые сможет затем достигнуть великих целей и облагодетельствовать человечество, но терпит внутреннее крушение.;Главное действующее лицо этого произведения – Родион Раскольников думал , что , убив отвратительную старушонку - ростовщицу , он добудет деньги , на которые сможет затем достигнуть великих целей и облагодетельствовать человечество , но терпит внутреннее крушение .;главный действующий лицо этот произведение – Родион Раскольников думать , что , убить отвратительный старушонка - ростовщица , он добыть деньги , на который мочь затем достичь великий целей и облагодетельствовать человечество , но терпеть внутренний крушение .;ADJ ADJ NOUN DET NOUN PUNCT PROPN PROPN VERB PUNCT SCONJ PUNCT VERB ADJ NOUN PUNCT NOUN PUNCT PRON VERB NOUN PUNCT ADP PRON VERB ADV VERB ADJ NOUN CCONJ VERB NOUN PUNCT CCONJ VERB ADJ NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;"Цель далека и несбыточна, а преступление реально; оно ужасно и ничем не может быть оправдано.";"Цель далека и несбыточна , а преступление реально ; оно ужасно и ничем не может быть оправдано .";"цель далекий и несбыточный , а преступление реальный ; оно ужасный и ничто не мочь быть оправдать .";NOUN ADJ CCONJ ADJ PUNCT CCONJ NOUN ADJ PUNCT PRON ADJ CCONJ PRON PART VERB AUX VERB PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Стремиться к высокой цели низкими средствами нельзя.;Стремиться к высокой цели низкими средствами нельзя .;стремиться к высокой̆ь цель низкий средство нельзя .;VERB ADP ADJ NOUN ADJ NOUN ADV PUNCT
